"Name","Arabic Name","Hex (24 bit)","Red (8 bit)","Green (8 bit)","Blue (8 bit)","Hue (degrees)","HSL.S (%)","HSL.L (%), HSV.S (%), HSV.V (%)"
"Blue, Alice !Alice Blue","الأزرق","#F0F8FF","240","248","255","208","100","97"
"White, Antique !Antique White","الأبيض العتيق","#FAEBD7","250","235","215","34","78","91"
"Aqua !Aqua"," مائي","#00FFFF","0","255","255","180","100","50"
"Aquamarine !Aquamarine","زبرجد","#7FFFD4","127","255","212","160","100","75"
"Azure !Azure","أزرق سماوي","#F0FFFF","240","255","255","180","100","97"
"Beige !Beige"," بيجْ","#F5F5DC","245","245","220","60","56","91"
"Black !Black","أسود","#000000","0","0","0","0","0","0"
"Blue !Blue","الأزرق","#0000FF","0","0","255","240","100","50"
"Brown !Brown","البُنّي","#A52A2A","165","42","42","0","59","41"
"Burlywood !Burlywood","البُنّي الفاتِحْ","#DEB887","222","184","135","34","57","70"
"Chocolate !Chocolate","شوكولاتة","#D2691E","210","105","30","25","75","47"
"Cyan !Cyan","سَمَاوِيِ","#00FFFF","0","255","255","180","100","50"
"Blue (Dark) !Dark Blue","أزرَقْ داكِنْ","#00008B","0","0","139","240","100","27"
"Cyan (Dark) !Dark Cyan","سَمَاوِيِ غَامِقْ","#008B8B","0","139","139","180","100","27"
"Gray (Dark) !Dark Gray"," رّمَادِيِ غَامِقْ","#A9A9A9","169","169","169","0","0","66"
"Green (Dark) !Dark Green","أخْضَرْ غَامِقْ","#006400","0","100","0","120","100","20"
"Magenta (Dark) !Dark Magenta"," أُرْجُوَانِيِ غَامِقْ","#8B008B","139","0","139","300","100","27"
"Green Olive (Dark) !Dark Olive Green","زَيْتُونِي أخْضَرْ غَامِقْ","#556B2F","85","107","47","82","39","30"
"Orange (Dark) !Dark Orange","بُرْتُقَالِيِ غَامِقْ","#FF8C00","255","140","0","33","100","50"
"Red (Dark) !Dark Red","أَحْمَرْ غَامِقْ","#8B0000","139","0","0","0","100","27"
"Green, Sea (Dark) !Dark Sea Green","اَخْضَرْ بَحْرِيِ غَامِقْ","#8FBC8F","143","188","143","120","25","65"
"Blue, Slate (Dark) !Dark Slate Blue","أزْرَقْ  تُرْقُوازِيِ  غَامِقْ","#483D8B","72","61","139","248","39","39"
